Data;Localidade;Natureza;target
15/04/2018;2;2018;20539,16678
16/04/2018;2;2018;21832,62588
17/04/2018;2;2018;22745,8577
18/04/2018;2;2018;21976,5089
19/04/2018;2;2018;21434,15321
20/04/2018;2;2018;21760,01395
21/04/2018;2;2018;20576,11851
22/04/2018;2;2018;20054,27101
23/04/2018;2;2018;21881,84056
24/04/2018;2;2018;22282,89293
25/04/2018;2;2018;23356,97628
26/04/2018;2;2018;23733,27966
27/04/2018;2;2018;23253,34033
28/04/2018;2;2018;21404,41968
29/04/2018;2;2018;20645,40732
30/04/2018;2;2018;22077,02634
01/05/2018;2;2018;20602,06867
02/05/2018;2;2018;22759,88374
03/05/2018;2;2018;24251,57874
04/05/2018;2;2018;23243,73992
05/05/2018;2;2018;21318,95777
06/05/2018;2;2018;20455,08728
07/05/2018;2;2018;23201,53697
08/05/2018;2;2018;23244,95208
09/05/2018;2;2018;21805,61472
10/05/2018;2;2018;21497,62424
11/05/2018;2;2018;22606,56664
12/05/2018;2;2018;21714,16595
13/05/2018;2;2018;19579,98081
14/05/2018;2;2018;22056,1721
15/05/2018;2;2018;22189,72367
16/05/2018;2;2018;23358,39215
17/05/2018;2;2018;22562,39413
18/05/2018;2;2018;22939,48194
19/05/2018;2;2018;22217,41751
20/05/2018;2;2018;20561,3632
21/05/2018;2;2018;21657,52416
22/05/2018;2;2018;22025,558
23/05/2018;2;2018;23235,60474
24/05/2018;2;2018;22350,44183
25/05/2018;2;2018;20695,91243
26/05/2018;2;2018;18473,15772
27/05/2018;2;2018;17240,59034
28/05/2018;2;2018;19100,6105
29/05/2018;2;2018;20021,30122
30/05/2018;2;2018;19806,81932
31/05/2018;2;2018;18784,54385
01/06/2018;2;2018;19508,48285
02/06/2018;2;2018;19673,57141
03/06/2018;2;2018;18730,20347
04/06/2018;2;2018;20545,99373
05/06/2018;2;2018;20843,43679
06/06/2018;2;2018;21163,62024
07/06/2018;2;2018;22329,84823
08/06/2018;2;2018;22431,14351
09/06/2018;2;2018;20764,21809
10/06/2018;2;2018;18820,47839
11/06/2018;2;2018;21716,8834
12/06/2018;2;2018;23075,7612
13/06/2018;2;2018;23203,89992
14/06/2018;2;2018;22918,61813
15/06/2018;2;2018;21899,94875
16/06/2018;2;2018;22062,88058
17/06/2018;2;2018;20290,37082
18/06/2018;2;2018;21726,75782
19/06/2018;2;2018;20981,90637
20/06/2018;2;2018;21003,30116
21/06/2018;2;2018;21842,31946
22/06/2018;2;2018;22269,56647
23/06/2018;2;2018;22334,42998
