Data;Temp Min;Temp Max;Precipitacao;Localidade;Tipo
2017-07-02 00:00:00;18,5;25,3;4,8;2;Realizado
2017-07-03 00:00:00;16,1;22,3;1;2;Realizado
2017-07-04 00:00:00;14,5;23,8;7,2;2;Realizado
2017-07-05 00:00:00;15,5;26,2;10,5;2;Realizado
2017-07-06 00:00:00;16,4;25,5;6,4;2;Realizado
2017-07-07 00:00:00;16,5;25,6;0;2;Realizado
2017-07-08 00:00:00;17,3;25,9;3,4;2;Realizado
2017-07-09 00:00:00;17;24,8;7,6;2;Realizado
2017-07-10 00:00:00;16;26,9;12,4;2;Realizado
2017-07-11 00:00:00;19;23,8;10,1;2;Realizado
2017-07-12 00:00:00;16,7;27,3;0;2;Realizado
2017-07-13 00:00:00;17,7;25,9;4,8;2;Realizado
2017-07-14 00:00:00;16,1;25,9;9;2;Realizado
2017-07-15 00:00:00;16,8;26,3;6;2;Realizado
2017-07-16 00:00:00;17,2;23,5;7,8;2;Realizado
2017-07-17 00:00:00;17,8;27,4;3,1;2;Realizado
2017-07-18 00:00:00;16,7;29,7;0;2;Realizado
2017-07-19 00:00:00;18,2;23,9;12;2;Realizado
2017-07-20 00:00:00;18,7;25,6;0;2;Realizado
2017-07-21 00:00:00;16;26,6;0;2;Realizado
2017-07-22 00:00:00;15,9;28,9;0;2;Realizado
2017-07-23 00:00:00;16,1;26,8;0;2;Realizado
2017-07-24 00:00:00;16,4;25,3;19,2;2;Realizado
2017-07-25 00:00:00;17,5;26,2;1,8;2;Realizado
2017-07-26 00:00:00;16,5;26,7;2,1;2;Realizado
2017-07-27 00:00:00;15,1;25;0;2;Realizado
2017-07-28 00:00:00;16,6;26;4,1;2;Realizado
2017-07-29 00:00:00;18,3;25,2;38,9;2;Realizado
2017-07-30 00:00:00;15,9;22,2;4,7;2;Realizado
2017-07-31 00:00:00;15,4;24,9;4,1;2;Realizado
2017-08-01 00:00:00;10,3;21,4;0;1;Realizado
2017-08-02 00:00:00;13,4;25;0;1;Realizado
